rank	id	token	freq	freq_pct	cum_freq_pct
1	1462	小	84066	9.660516	9.660516
2	2525	雷	72151	8.291293	17.951809
3	2494	问	32316	3.713621	21.665429
4	2018	的	24329	2.795788	24.461217
5	1027	你	17551	2.016888	26.478105
6	1560	快	16769	1.927024	28.405129
7	1640	拍	16513	1.897605	30.302734
8	1746	是	16025	1.841526	32.144261
9	1600	我	15438	1.774071	33.918332
10	1401	好	14559	1.673060	35.591391
11	926	一	13620	1.565154	37.156545
12	946	个	12937	1.486666	38.643212
13	2427	这	11216	1.288896	39.932108
14	1302	嗨	10327	1.186736	41.118844
15	1468	就	9020	1.036541	42.155385
16	969	了	8379	0.962880	43.118264
17	933	不	8240	0.946907	44.065171
18	1767	有	8071	0.927486	44.992657
19	2458	那	7025	0.807284	45.799941
20	1002	们	6871	0.789587	46.589527
21	998	他	6372	0.732244	47.321771
22	1338	在	5873	0.674901	47.996672
23	1220	后	4572	0.525395	48.522067
24	1792	来	4556	0.523557	49.045624
25	1458	对	4247	0.488048	49.533671
26	1281	啊	4230	0.486094	50.019766
27	1304	嗯	3835	0.440702	50.460468
28	989	人	3794	0.435991	50.896459
29	1001	以	3769	0.433118	51.329576
30	1129	到	3725	0.428062	51.757638
31	2293	要	3686	0.423580	52.181218
32	955	么	3594	0.413008	52.594225
33	2337	说	3567	0.409905	53.004130
34	931	上	3552	0.408181	53.412311
35	1874	没	3485	0.400482	53.812793
36	1940	然	3274	0.376234	54.189027
37	1380	大	3218	0.369799	54.558827
38	1737	时	3190	0.366582	54.925408
39	1241	呢	3094	0.355550	55.280958
40	2032	看	3076	0.353481	55.634439
41	963	也	2975	0.341875	55.976314
42	2463	都	2944	0.338312	56.314626
43	932	下	2936	0.337393	56.652019
44	1207	可	2916	0.335095	56.987113
45	949	为	2863	0.329004	57.316117
46	1161	十	2747	0.315674	57.631791
47	2426	还	2745	0.315444	57.947235
48	1448	家	2519	0.289473	58.236708
49	1377	多	2513	0.288784	58.525492
50	2203	能	2474	0.284302	58.809794
51	1012	会	2429	0.279131	59.088924
52	1381	天	2399	0.275683	59.364607
53	1187	去	2350	0.270052	59.634660
